id,age,income,gender,region,purchases,segment
410,51,96110,Female,North,4,0
411,57,42523,Male,South,6,2
412,26,97558,Male,East,2,1
413,24,92224,Female,South,4,0
414,57,38691,Male,East,3,1
415,38,84749,Male,West,1,1
416,69,104102,Male,North,6,2
417,34,76132,Male,West,10,2
418,44,31420,Female,West,9,1
419,65,29084,Female,West,9,1
420,46,77396,Female,South,6,1
421,36,49247,Male,North,6,2
422,62,109739,Male,West,3,1
423,39,76998,Male,West,6,0
424,39,60501,Female,South,6,0
425,31,40690,Female,South,3,0
426,37,28922,Female,North,5,2
427,31,50536,Male,North,8,1
428,33,97523,Male,East,2,2
429,23,71667,Male,West,5,1
430,50,97485,Female,West,7,1
431,62,66957,Female,North,4,0
432,57,21221,Male,West,5,0
433,64,35846,Male,East,5,1
434,58,63355,Male,East,3,1
435,65,87026,Male,North,7,0
436,19,89614,Female,West,4,1
437,44,66159,Male,East,4,0
438,28,89556,Female,West,5,1
439,20,43465,Male,South,6,0
440,27,81639,Male,West,4,2
441,56,112246,Male,South,4,0
442,40,112011,Male,East,5,1
443,67,20747,Male,South,3,0
444,34,47721,Female,South,7,1
445,54,92616,Female,East,1,1
446,51,77067,Male,North,6,0
447,34,46915,Female,North,4,0
448,22,108280,Male,North,4,1
449,55,52534,Female,South,6,1
450,47,97350,Female,South,4,1
451,24,55688,Male,West,5,1
452,61,34139,Male,North,10,0
453,64,32292,Male,West,7,2
454,65,45515,Female,West,4,1
455,45,46781,Female,North,4,0
456,58,76824,Male,North,4,0
457,56,93966,Female,North,5,1
458,51,68990,Female,East,5,0
459,55,56891,Male,East,2,1
460,65,82044,Female,West,2,1
461,19,68258,Male,West,2,0
462,19,90867,Male,East,6,2
463,30,64408,Male,South,1,0
464,29,37419,Male,East,1,1
465,53,58701,Female,North,8,2
466,35,89088,Female,South,5,0
467,58,115504,Male,North,6,0
468,24,22407,Female,North,6,0
469,66,21204,Male,East,6,0
470,19,95808,Female,East,4,0
471,59,31100,Male,East,7,1
472,41,71639,Male,North,4,0
473,19,68888,Female,North,11,2
474,31,46787,Male,South,4,0
475,69,85760,Male,East,5,1
476,67,41138,Female,South,2,1
477,55,43460,Female,West,6,1
478,59,84370,Male,North,4,2
479,57,66791,Male,East,7,1
480,27,105431,Male,South,5,1
481,68,24765,Male,South,6,0
482,25,52808,Female,West,3,0
483,40,27714,Female,East,1,0
484,45,54105,Female,South,7,2
485,50,29023,Female,West,3,0
486,36,73264,Male,West,6,0
487,63,34638,Male,West,3,1
488,32,95123,Male,East,8,1
489,69,116461,Female,South,5,1
490,23,66749,Female,South,5,0
491,33,60055,Female,East,5,1
492,63,27907,Male,West,6,1
493,41,59617,Female,North,3,2
494,48,42491,Female,South,1,1
495,46,65831,Male,North,9,1
496,58,115742,Female,South,6,1
497,34,86720,Male,West,8,0
498,61,68072,Female,West,2,2
499,32,105069,Female,North,5,0
500,26,89229,Female,South,7,2
